n=20000 a_n=317850 elapsed=0.1s
n=40000 a_n=380454 elapsed=0.2s
n=60000 a_n=443058 elapsed=0.4s
n=80000 a_n=505666 elapsed=0.6s
n=100000 a_n=568270 elapsed=0.9s
n=120000 a_n=630868 elapsed=1.3s
n=140000 a_n=693470 elapsed=1.7s
n=160000 a_n=756070 elapsed=2.1s
n=180000 a_n=818676 elapsed=2.5s
n=200000 a_n=881268 elapsed=3.0s
n=220000 a_n=943874 elapsed=3.6s
n=240000 a_n=1006480 elapsed=4.2s
n=260000 a_n=1069086 elapsed=4.8s
n=280000 a_n=1131684 elapsed=5.5s
n=300000 a_n=1194292 elapsed=6.2s
n=320000 a_n=1256892 elapsed=7.0s
n=340000 a_n=1319494 elapsed=7.9s
n=360000 a_n=1382094 elapsed=9.0s
n=380000 a_n=1444696 elapsed=10.2s
n=400000 a_n=1507300 elapsed=11.6s
n=420000 a_n=1569900 elapsed=13.1s
n=440000 a_n=1632510 elapsed=14.7s
n=460000 a_n=1695108 elapsed=16.5s
n=480000 a_n=1757706 elapsed=18.3s
n=500000 a_n=1820310 elapsed=20.0s
n=520000 a_n=1882908 elapsed=21.5s
n=540000 a_n=1945514 elapsed=23.1s
n=560000 a_n=2008118 elapsed=25.0s
n=580000 a_n=2070718 elapsed=27.1s
n=600000 a_n=2133330 elapsed=29.4s
n=620000 a_n=2195928 elapsed=31.9s
n=640000 a_n=2258526 elapsed=34.5s
n=660000 a_n=2321132 elapsed=37.4s
n=680000 a_n=2383732 elapsed=40.3s
n=700000 a_n=2446334 elapsed=43.5s
n=720000 a_n=2508930 elapsed=46.8s
n=740000 a_n=2571540 elapsed=49.8s
n=760000 a_n=2634144 elapsed=52.4s
n=780000 a_n=2696746 elapsed=55.2s
n=800000 a_n=2759352 elapsed=58.1s
n=820000 a_n=2821950 elapsed=61.3s
n=840000 a_n=2884548 elapsed=64.5s
n=860000 a_n=2947158 elapsed=68.0s
n=880000 a_n=3009756 elapsed=71.7s
n=900000 a_n=3072354 elapsed=75.6s
n=920000 a_n=3134964 elapsed=79.7s
n=940000 a_n=3197572 elapsed=84.6s
n=960000 a_n=3260172 elapsed=89.6s
n=980000 a_n=3322774 elapsed=96.4s
